SID,SEASON,issue_time,target_time,issue_lat,issue_lon,issue_wind,target_lat,target_lon,target_wind,model,horizon_hours,predicted_lat,predicted_lon,predicted_wind,track_error_km,wind_error_kt,wind_abs_error_kt,target_motion_kmh,issue_intensity_bin,motion_bin,wind_change_bin
2020138N28281,2020,2020-05-17 18:00:00+00:00,2020-05-18 00:00:00+00:00,31.0,-77.3,40.0,31.9,-77.0,40.0,persistence,6,31.0,-77.3,40.0,104.0429865021268,0.0,0.0,17.340497750354466,TS (34-63),typical (10-25),steady (-5 to 5)
2020138N28281,2020,2020-05-18 00:00:00+00:00,2020-05-18 06:00:00+00:00,31.9,-77.0,40.0,33.1,-76.7,40.0,persistence,6,31.9,-77.0,40.0,136.36763491924282,0.0,0.0,22.727939153207135,TS (34-63),typical (10-25),steady (-5 to 5)
2020138N28281,2020,2020-05-18 06:00:00+00:00,2020-05-18 12:00:00+00:00,33.1,-76.7,40.0,34.4,-75.9,45.0,persistence,6,33.1,-76.7,40.0,162.37573834406498,-5.0,5.0,27.062623057344165,TS (34-63),fast (>=25),steady (-5 to 5)
2020138N28281,2020,2020-05-18 12:00:00+00:00,2020-05-18 18:00:00+00:00,34.4,-75.9,45.0,35.5,-74.7,45.0,persistence,6,34.4,-75.9,45.0,164.07775553205062,0.0,0.0,27.3462925886751,TS (34-63),fast (>=25),steady (-5 to 5)
2020138N28281,2020,2020-05-18 18:00:00+00:00,2020-05-19 00:00:00+00:00,35.5,-74.7,45.0,36.2,-73.1,50.0,persistence,6,35.5,-74.7,45.0,163.86922624388012,-5.0,5.0,27.311537707313352,TS (34-63),fast (>=25),steady (-5 to 5)
2020138N28281,2020,2020-05-19 00:00:00+00:00,2020-05-19 06:00:00+00:00,36.2,-73.1,50.0,36.8,-71.4,50.0,persistence,6,36.2,-73.1,50.0,165.9522233884697,0.0,0.0,27.658703898078283,TS (34-63),fast (>=25),steady (-5 to 5)
2020154N19269,2020,2020-06-02 18:00:00+00:00,2020-06-03 00:00:00+00:00,19.2,-92.6,40.0,19.0,-92.5,45.0,persistence,6,19.2,-92.6,40.0,24.596309495216715,-5.0,5.0,4.099384915869453,TS (34-63),slow (<10),steady (-5 to 5)
2020154N19269,2020,2020-06-03 00:00:00+00:00,2020-06-03 06:00:00+00:00,19.0,-92.5,45.0,18.9,-92.3,50.0,persistence,6,19.0,-92.5,45.0,23.792022770715267,-5.0,5.0,3.9653371284525445,TS (34-63),slow (<10),steady (-5 to 5)
2020154N19269,2020,2020-06-03 06:00:00+00:00,2020-06-03 12:00:00+00:00,18.9,-92.3,50.0,18.8,-92.2,50.0,persistence,6,18.9,-92.3,50.0,15.309472696713694,0.0,0.0,2.5515787827856156,TS (34-63),slow (<10),steady (-5 to 5)
2020154N19269,2020,2020-06-03 12:00:00+00:00,2020-06-03 18:00:00+00:00,18.8,-92.2,50.0,18.5,-91.9,45.0,persistence,6,18.8,-92.2,50.0,45.95412182370037,5.0,5.0,7.6590203039500615,TS (34-63),slow (<10),weakening (<-5)
2020154N19269,2020,2020-06-03 18:00:00+00:00,2020-06-04 00:00:00+00:00,18.5,-91.9,45.0,18.2,-91.7,40.0,persistence,6,18.5,-91.9,45.0,39.47588218444304,5.0,5.0,6.579313697407173,TS (34-63),slow (<10),weakening (<-5)
2020154N19269,2020,2020-06-04 00:00:00+00:00,2020-06-04 06:00:00+00:00,18.2,-91.7,40.0,17.9,-91.5,35.0,persistence,6,18.2,-91.7,40.0,39.49534127825021,5.0,5.0,6.582556879708368,TS (34-63),slow (<10),weakening (<-5)
